date,state,cases,deaths
2020-01-30,Distrito Federal,0,0
2020-01-30,Goiás,0,0
2020-01-30,Mato Grosso,0,0
2020-01-30,Mato Grosso do Sul,0,0
2020-01-30,Alagoas,0,0
2020-01-30,Bahia,0,0
2020-01-30,Ceará,0,0
2020-01-30,Maranhão,0,0
2020-01-30,Paraíba,0,0
2020-01-30,Pernambuco,0,0
2020-01-30,Piauí,0,0
2020-01-30,Rio Grande do Norte,0,0
2020-01-30,Sergipe,0,0
2020-01-30,Acre,0,0
2020-01-30,Amapá,0,0
2020-01-30,Amazonas,0,0
2020-01-30,Pará,0,0
2020-01-30,Rondônia,0,0
2020-01-30,Roraima,0,0
2020-01-30,Tocantins,0,0
2020-01-30,Espírito Santo,0,0
2020-01-30,Minas Gerais,0,0
2020-01-30,Rio de Janeiro,0,0
2020-01-30,São Paulo,0,0
2020-01-30,Paraná,0,0
2020-01-30,Rio Grande do Sul,0,0
2020-01-30,Santa Catarina,0,0
2020-01-31,Distrito Federal,0,0
2020-01-31,Goiás,0,0
2020-01-31,Mato Grosso,0,0
2020-01-31,Mato Grosso do Sul,0,0
2020-01-31,Alagoas,0,0
2020-01-31,Bahia,0,0
2020-01-31,Ceará,0,0
2020-01-31,Maranhão,0,0
2020-01-31,Paraíba,0,0
2020-01-31,Pernambuco,0,0
2020-01-31,Piauí,0,0
2020-01-31,Rio Grande do Norte,0,0
2020-01-31,Sergipe,0,0
2020-01-31,Acre,0,0
2020-01-31,Amapá,0,0
2020-01-31,Amazonas,0,0
2020-01-31,Pará,0,0
2020-01-31,Rondônia,0,0
2020-01-31,Roraima,0,0
2020-01-31,Tocantins,0,0
2020-01-31,Espírito Santo,0,0
2020-01-31,Minas Gerais,0,0
2020-01-31,Rio de Janeiro,0,0
2020-01-31,São Paulo,0,0
2020-01-31,Paraná,0,0
2020-01-31,Rio Grande do Sul,0,0
2020-01-31,Santa Catarina,0,0
2020-02-01,Distrito Federal,0,0
2020-02-01,Goiás,0,0
2020-02-01,Mato Grosso,0,0
2020-02-01,Mato Grosso do Sul,0,0
2020-02-01,Alagoas,0,0
2020-02-01,Bahia,0,0
2020-02-01,Ceará,0,0
2020-02-01,Maranhão,0,0
2020-02-01,Paraíba,0,0
2020-02-01,Pernambuco,0,0
2020-02-01,Piauí,0,0
2020-02-01,Rio Grande do Norte,0,0
2020-02-01,Sergipe,0,0
2020-02-01,Acre,0,0
2020-02-01,Amapá,0,0
2020-02-01,Amazonas,0,0
